simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,GBR,2,EUR,1918,6,280758120695.2907,36277061749.920395,13833955.133122537,13833955.133122537,317542541167.17896,43422099211.15629,36941158.24401316,36941158.24401316,2658.995212715095,516.485516432577,2142.5096962825182,50% coverage
1,GBR,2,EUR,1918,7,274682956602.61038,38508852150.80205,15084872.726328967,15084872.726328967,311719265548.2508,46869167993.86866,41227998.7428518,41227998.7428518,2455.1953216680213,554.2185204171203,1900.976801250901,50% coverage
1,GBR,2,EUR,1918,8,270781669390.94543,46600960544.173805,16322345.670162708,16322345.670162708,307653852176.38574,55949615672.32324,45472705.575772695,45472705.575772695,2259.0002399497494,572.7519387877445,1686.2483011620047,50% coverage
1,GBR,2,EUR,1918,9,271434039671.24054,50937941108.08627,17564648.185071543,17564648.185071543,308852474200.832,61621496554.49016,49701608.18457055,49701608.18457055,2130.326445217042,608.2419262734792,1522.0845189435627,50% coverage
1,GBR,2,EUR,1918,10,266397267421.7334,53298107946.79077,18777539.89832733,18777539.89832733,303372776798.1703,64506697257.40805,53869421.322387174,53869421.322387174,1969.1349120621817,596.9146848472798,1372.220227214902,50% coverage
1,GBR,2,EUR,1918,11,260450256731.15994,56832367975.74036,19979026.81101108,19979026.81101108,296843702206.1805,68911096851.13225,58001894.357978135,58001894.357978135,1821.5824934457241,604.5704322662463,1217.0120611794778,50% coverage
1,GBR,2,EUR,1918,12,259437011654.1386,60434798323.96501,21169763.456479758,21169763.456479758,295848587034.76544,72894059799.78561,62100935.87662811,62100935.87662811,1719.9802659808074,588.5404199926005,1131.4398459882068,50% coverage
1,GBR,2,EUR,1918,13,253879009570.38837,63799427028.72525,22350289.81108923,22350289.81108923,290030801117.0944,77346477858.7127,66168268.30753141,66168268.30753141,1617.5088489800758,606.1241686121675,1011.3846803679082,50% coverage
1,GBR,2,EUR,1918,14,249798077930.029,63958882524.40864,23537759.244801745,23537759.244801745,285652185730.59845,77556972373.18446,70228325.38068983,70228325.38068983,1523.2591780582404,577.7138642362029,945.5453138220375,50% coverage
1,GBR,2,EUR,1918,15,245849056751.8782,66246882860.145515,24699382.849593766,24699382.849593766,281838139125.4994,80797470334.9113,74236939.62094617,74236939.62094617,1457.0842758612935,589.10732965966,867.9769462016335,50% coverage
