"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"356","Andorra","AND","EURO","High income",2024,0,"children","0"
"357","Cook Islands","COK","WPRO","High income",2024,0,"children","0"
"358","Marshall Islands","MHL","WPRO","Upper middle income",2024,0,"children","0"
"359","Monaco","MCO","EURO","High income",2024,0,"children","0"
"360","Nauru","NRU","WPRO","High income",2024,0,"children","0"
"361","Saint Kitts and Nevis","KNA","AMRO","High income",2024,0,"children","0"
"362","Tuvalu","TUV","WPRO","Upper middle income",2024,0,"children","0"
"363","Sierra Leone","SLE","AFRO","Low income",2024,0,"children","0"
"364","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2024,0,"children","0"
"365","Mongolia","MNG","WPRO","Lower middle income",2024,0,"children","0"
"366","San Marino","SMR","EURO","High income",2024,99.6617623540969,"children","0"
"367","Cyprus","CYP","EURO","High income",2024,21575.6781657787,"children","0"
"368","Qatar","QAT","EMRO","High income",2024,60613.024,"children","0"
"369","Slovenia","SVN","EURO","High income",2024,13702.7859489153,"children","0"
"370","Malta","MLT","EURO","High income",2024,7485.042375,"children","0"
"371","Iceland","ISL","EURO","High income",2024,8748.85620485214,"children","0"
"372","Uruguay","URY","AMRO","High income",2024,11386.6278,"children","0"
"373","New Zealand","NZL","WPRO","High income",2024,24724.7592,"children","0"
"374","Ireland","IRL","EURO","High income",2024,44258.06,"children","0"
"375","Australia","AUS","WPRO","High income",2024,1266221.22,"children","0"
"376","Costa Rica","CRI","AMRO","Upper middle income",2024,179484.5285,"children","0"
"377","Panama","PAN","AMRO","High income",2024,210786.858975,"children","0"
"378","Finland","FIN","EURO","High income",2024,90166.0375,"children","0"
"379","Denmark","DNK","EURO","High income",2024,141217.987765586,"children","0"
"380","Greece","GRC","EURO","High income",2024,151277.661942412,"children","0"
"381","Belarus","BLR","EURO","Upper middle income",2024,281365.5308,"children","0"
